sample_id,cluster_id,cluster_name,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99
0,0,high_freq_oscillation,0.14901425,0.2096687,0.6805033,1.1469879,0.77947944,0.88466114,1.4726312,1.2090329,0.75515145,0.9185176,0.42803454,0.20230122,0.16764472,-0.73198545,-0.9184059,-0.78684527,-1.0996112,-0.8280801,-1.2622286,-1.4175296,-0.49445322,-0.88230884,-0.62252915,-0.85721934,-0.35256606,0.0967007,-0.033264626,0.65335023,0.5544001,0.79394525,0.7912996,1.5555576,0.959793,0.54871213,0.95945764,0.1474243,0.34439164,-0.5561731,-0.61876637,-0.39916816,-0.44522902,-0.78115934,-0.9796953,-1.0871859,-1.4283644,-1.1255852,-0.9143381,-0.27577126,-0.26857698,-0.6555045,0.22381765,0.25613776,0.38983133,0.9596493,1.2189318,1.2641917,0.74508953,0.8522371,0.9319489,0.95943254,0.31447425,0.16461284,-0.36362842,-0.64059454,-0.26991963,-0.30582216,-0.88762844,-0.6627823,-0.89138335,-1.1653475,-0.7730347,-0.27318075,-0.5513886,0.15735964,-0.8493475,0.435822,0.45590904,0.5530854,0.8421042,0.33787718,0.9279369,1.0969552,1.3657225,0.6402808,0.37561092,0.25040343,0.43262205,0.0035692896,-0.5009482,-0.41307962,-0.72662634,-0.60540026,-1.1894183,-1.097166,-1.0725347,-1.28878,-0.6012429,-0.40788016,-0.24961396,-0.07037614
1,0,high_freq_oscillation,-0.4246112,0.12495439,0.38338238,0.44939584,0.80133975,1.0761175,1.5647231,1.0311757,0.9732589,0.7334158,-0.008571501,0.33406597,0.11312511,0.58097124,-0.45863882,-0.52769476,-0.80617535,-1.2729577,-0.6469746,-0.7682586,-0.69683826,-1.0873922,-0.22194931,-0.8503502,-0.013194116,0.7205606,0.014872548,0.3707515,0.76448715,0.7304107,0.50661254,1.020443,0.645151,1.0081031,0.4368669,0.9786577,0.04675657,-0.06489052,0.023744632,-0.8274858,-0.598531,-0.44042704,-1.4272457,-0.9414646,-0.9068429,-0.6750851,-1.1472317,-0.9890449,-0.21508,-0.03749705,0.20174031,0.4755969,0.38890052,0.8458226,0.99755377,0.7705023,1.5565871,1.0871507,0.4751788,0.8637351,0.16582201,0.45643592,0.31585073,-0.52793723,-0.22466455,-0.5888599,-0.61940736,-0.39480427,-1.0734906,-1.1979324,-1.1483077,-0.9793348,-0.5637713,-0.20968786,0.01958332,0.4374062,0.43369547,1.0788479,0.7351789,1.7501986,1.1815387,0.7326742,0.60108656,0.94050354,0.55112016,0.61513066,0.29997268,-0.11690472,-0.59605825,-1.021514,-0.88970405,-0.63907415,-0.9145743,-1.372589,-0.90294796,-0.7341302,-0.95523626,-0.4400792,-0.23368537,-0.3428911
2,0,high_freq_oscillation,0.10733621,0.41938335,0.8111121,1.0062196,0.4364246,0.6735547,1.1533779,1.1329383,1.050508,1.911569,0.738327,0.68268985,0.38125658,0.037415978,-0.49551132,-0.3904682,-1.0276093,-0.99339986,-1.1354305,-0.96927625,-0.2397503,-1.3747555,-0.43690956,-0.9136097,-0.3308308,0.3901091,0.33131745,0.21731739,0.5200006,1.0853326,0.7527016,1.0648117,0.97751373,0.6705453,1.3558774,0.7038531,-0.32581022,0.087664224,-0.41884646,-0.20249653,-0.9045252,-0.8669908,-0.79350466,-0.7371282,-1.3448967,-1.0099823,-0.91863006,-0.7889067,0.15797381,-0.00509794,-0.25167274,0.64702106,1.2295548,1.085886,0.453821,0.83953756,1.3769281,0.7327,0.9657157,0.8991592,0.18014738,0.20245293,-1.0041082,-0.58904886,-0.58944786,-1.0870291,-0.376302,-1.3928846,-1.1318874,-0.9325894,-0.44907138,-1.1653503,-0.1916917,-0.30896354,-0.3578765,0.3278823,0.48951283,0.46272254,0.8355166,0.8185538,1.0278937,1.1884606,1.3981594,0.4244172,1.258069,-0.18469581,0.112465866,0.081439115,-0.2577226,-0.7538697,-0.8181862,-1.043894,-1.1556119,-0.7439867,-0.8477976,-1.0575984,-0.42019904,-0.39400688,-0.0072893514,0.18888865
3,0,high_freq_oscillation,-0.2486985,0.08309367,0.71038485,0.8731901,0.84345496,0.99010044,1.3821669,0.80133104,1.060123,0.6950918,0.5017555,0.6716532,0.34268096,0.086051494,-0.0092868935,-0.61185783,-0.591176,-1.0154343,-0.8925715,-1.0328814,-0.9050491,-0.6360288,-0.8882538,0.19792128,-0.49105647,-0.30083266,0.6594667,0.77813965,0.9218277,1.069957,0.96813756,0.7306978,0.98658353,0.6628769,1.0052301,0.46956018,0.034083396,-0.06468782,-0.0964311,-0.6273439,-0.9134351,-0.75946367,-0.87151086,-1.1489377,-1.1261193,-0.840017,-1.2105718,-1.0151471,-0.5871957,-0.1906266,0.21986473,0.8142693,0.85020584,0.7281649,0.90392715,0.68404895,0.9913008,0.8584032,0.9293854,0.41859972,0.6140305,0.6801322,-0.06435598,-0.16121905,-0.3066342,-0.8330603,-0.79879767,-0.9600644,-0.9705713,-1.2037145,-0.8741003,-0.5851922,-0.10529774,-0.024252199,0.5825308,-0.040953025,0.6914911,0.6977902,1.4715168,0.6916584,0.7419219,0.81000364,0.28518558,0.63803536,0.3904192,0.44604868,0.26052818,0.46779522,-0.05689299,-0.74013096,-1.0252739,-0.74841803,-1.3748724,-0.44942972,-0.6010702,-0.9904781,-1.2040194,-0.08003502,-0.28550994,0.3713449
4,0,high_freq_oscillation,-0.4783283,0.07133548,0.48776984,0.7041732,0.71470577,1.1417572,0.67858124,0.9360886,0.9320825,0.9100812,0.78054434,0.0046275156,-0.3651782,0.22530165,-0.30123633,-0.84270495,-0.33041626,-0.8876519,-0.6360323,-0.9735829,-0.31592348,-0.2879737,-0.71747684,-0.13832362,0.0043615405,0.4740134,0.022556407,0.74645627,1.052119,0.35383153,0.616834,0.38810447,0.8830201,1.0812881,1.1634012,0.53590584,0.7703172,-0.3823025,-0.73132527,-0.47489083,-0.5515494,-0.84237826,-1.5652335,-1.0235908,-1.3761486,-0.7087302,-0.66616696,-0.87487185,-0.5258225,-0.4443565,0.10778873,0.65820515,0.29719013,0.9273604,0.7505547,0.7469459,0.96474564,0.63442814,0.66647506,0.30740562,1.047644,0.2308896,-0.24164559,-0.21753858,-0.5473758,-0.778985,-0.6817754,-0.73658985,-1.1590245,-1.144557,-0.9639689,-1.425168,-0.99519813,0.09802883,0.4300664,0.114540435,0.602762,0.73616266,1.7382402,1.2700204,0.9554632,0.70315933,0.4404204,0.8568009,0.39125377,-0.025745578,-0.035970468,-0.41952044,0.16412234,-0.30256793,-0.75814134,-0.45201054,-0.955592,-1.2572526,-0.497965,-0.6880524,-1.0012529,-0.54329836,-0.51383346,-0.41483992
5,0,high_freq_oscillation,0.27785325,0.823973,0.06662647,0.8589698,0.6545327,0.80876464,0.8211492,0.7196052,0.91055024,0.50646454,0.64819694,0.3269487,0.02337163,-0.4302705,-0.5739619,-0.39154163,-0.6454867,-1.2156209,-0.96002173,-0.7684223,-1.4349694,-0.6515679,-0.8415747,-0.25861531,-0.41822898,-0.47804072,-0.17622928,0.5550663,0.81250846,0.6101584,1.1633893,0.5014181,0.94401824,0.50272053,0.51714337,0.527897,0.023608547,-0.08363873,0.08157731,-0.6312941,-0.41606137,-1.171482,-0.78605956,-0.56438416,-1.7263011,-1.1487006,-0.60302484,-0.6538215,-0.2603187,-0.307788,0.15256938,0.32495928,0.94324255,0.8524727,1.0109128,0.8612447,0.8505729,0.81523335,0.9509055,0.54047364,0.545159,0.8429308,0.22960947,-0.3795396,-0.15331322,-0.8351168,-1.4774628,-1.266268,-1.5611117,-1.0772656,-0.87592787,-0.23166052,-0.4425626,-0.3777636,0.18539776,-0.47408935,0.5004793,0.87404716,0.37100008,1.2772741,1.0953873,0.8652351,1.1121888,1.4769697,0.6727189,0.47539672,0.020193126,-0.35000935,-0.0929194,-0.823885,-0.7342797,-1.039291,-0.8351085,-0.8987687,-0.6436403,-1.0027304,-0.7710415,-0.77982587,-0.38443595,0.113190144
6,0,high_freq_oscillation,0.22709659,-0.02550161,0.74707854,1.0967704,0.9737559,1.517941,0.7667306,0.60540605,0.3623777,1.2045629,0.76336956,0.32534474,0.17904663,-0.49564812,0.33279505,-0.5793926,-0.7629434,-0.7046243,-0.84551865,-0.92667323,-1.1712902,-0.67313546,-0.07818026,-0.026168898,0.28870475,-0.08994079,0.015152,0.5029047,0.75130916,1.2097108,0.46407217,1.4587393,0.9164398,0.73796105,0.40906286,0.01722039,0.5286837,0.053723324,-0.6072988,-0.84675014,-0.7675044,-0.3318634,-1.0228782,-1.4477977,-1.0585307,-0.99144906,-1.5852125,-0.60919636,-0.44094282,0.08226945,0.6812793,0.709632,0.5122413,0.44418868,1.6816399,1.0025733,1.0010335,0.9377633,0.8919953,0.6234609,0.28612792,0.056252852,-0.041553915,-0.44476,-0.72753114,-0.6807651,-0.9425186,-0.5126443,-1.7951651,-0.6443595,-0.5076278,-1.3566087,-0.6434471,-0.4234657,-0.48567742,-0.04409376,0.09662216,1.1684687,1.0952795,1.3156143,1.2103401,0.6511059,0.7649982,0.9425742,0.25152063,0.6148301,0.08590378,-0.20750229,-0.12873216,-0.43378088,-0.8640394,-0.5481948,-1.3031214,-0.8140867,-0.7769719,-0.94258934,-0.5922391,-0.8615308,0.02606012,-0.05547064
7,0,high_freq_oscillation,-0.1568169,0.56585073,0.27489364,0.26754063,0.38273668,1.1367053,0.6147385,1.5052407,0.27141497,1.2646865,0.63036513,0.31300622,-0.06841968,-0.03826056,-0.41222095,-0.2871684,-0.76149356,-0.8772638,-1.0989051,-1.0109222,-0.8418073,-1.3276265,-1.0472432,-0.20681569,-0.1379916,0.008228919,0.31756362,0.64491534,0.5726638,0.647962,1.0305651,0.7063623,1.086318,0.35525033,1.0214409,0.65545666,0.3585415,0.32653522,0.2793318,-0.15391551,-1.2190312,-1.216443,-1.1324464,-0.98902744,-0.82951003,-1.1273551,-0.72011644,-0.8195228,-0.5551178,-0.5485908,-0.15037753,-0.033842925,0.30014595,1.092239,0.6248123,1.7745224,1.1448501,1.0004517,0.5750625,0.876862,0.2855352,0.25691348,0.7362974,-0.31055054,-0.1688954,-0.9236471,-0.87652194,-0.43260196,-1.1879642,-0.428077,-0.66912776,-0.90333176,-0.3509185,-0.02026711,0.12311907,-0.28181618,0.21165375,0.568532,0.7922459,1.1203495,1.0471488,0.58921814,1.0364137,0.97893757,0.7860961,0.7251648,0.40817803,0.04269798,-0.36306986,-1.0653481,-0.62686414,-0.8336875,-0.8973288,-1.381892,-1.2792192,-0.53377956,-0.70194554,-0.28174654,-0.24265248,0.008926841
8,0,high_freq_oscillation,0.28148514,0.09633457,0.51503295,0.5513964,0.71937656,0.8621506,1.0655074,0.83517784,1.2727206,0.4873674,0.51099837,0.21010083,0.5291494,-0.099034965,-0.09137718,-1.0638272,-0.71564674,-0.65546507,-0.96513623,-0.67419434,-1.0893344,-0.39177173,0.04688183,-0.53864646,-0.322902,0.49943927,0.78590506,0.3837828,0.60853565,0.796918,0.56847644,0.72427857,0.6625999,0.63568616,0.7022887,0.5839418,0.7468827,-0.26777828,0.07498619,-0.52242315,-0.68160814,-0.63012403,-1.2818174,-0.8821319,-0.9348721,-0.7618966,-0.68939584,0.1436821,-0.56298447,-0.28589153,-0.060349703,0.20501933,0.4016918,1.1328515,1.3357832,0.81358385,0.7471481,1.0864255,0.66690296,0.85664856,0.5191034,-0.2344127,0.43252364,0.25703076,-0.697514,-0.82900465,-0.7802658,-0.8635051,-0.8023108,-0.3687502,-0.93453753,-0.97408086,-0.9544366,-0.53131247,-0.073362015,0.7276186,0.27451152,0.709924,0.8096491,1.2906659,1.7519182,0.8305608,0.7755225,1.1090101,0.8227264,0.95494276,0.33317986,-0.20284367,-0.1648237,-0.23444879,-0.50960493,-0.74381155,-0.65880007,-0.6480787,-0.54025453,-0.65511245,-0.7402144,-0.44218263,0.1108047,-0.2450807
9,0,high_freq_oscillation,0.11060199,0.13314635,0.49482018,1.0736146,0.90705514,0.9688332,0.5909105,1.2026786,1.0896391,1.404726,0.47472638,0.40776524,0.16987115,0.3152346,-0.4295192,-0.53445256,-0.6133929,-0.8663716,-1.1237515,-0.9356115,-0.61205834,-1.1225306,-0.6028967,-0.6398312,0.16926274,-0.39353216,0.14435689,0.65380436,1.2042489,0.8617283,0.8052517,1.5642213,0.52943796,0.20638362,0.8446985,0.36306113,-0.024637287,0.24423487,-0.14717032,-0.6274501,-1.0508603,-0.57083267,-0.74994045,-1.0266075,-0.43081665,-1.2306575,-1.233804,-0.80048037,-0.38533825,-0.053590618,0.054221638,0.47727907,0.2174461,1.2092758,0.88498664,1.3199965,1.0996724,1.0820268,1.0035,0.8010816,0.65104336,0.6190563,0.027228417,-0.06903143,-0.5405981,-0.28065902,-1.0689431,-0.42356002,-1.0119215,-1.4010441,-0.84302205,-0.9389072,-0.28844777,-0.50782067,-0.19727895,-0.37761098,0.29410303,-0.084376186,0.33940512,1.1622722,1.2295785,1.1174587,0.63226146,0.7814484,0.61707824,0.05342113,0.6090209,0.16815265,-0.4083094,-0.5589941,-0.69323474,-1.5085143,-1.0529556,-1.2034626,-1.2553883,-0.9340555,-0.15077305,-0.29394388,-0.42250168,0.17177483
